									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
40	25	05	08	12	27	23	02		-51	-32	-45	19	86	139	87	61	66	285	657										78	-3	107	162	147	114	-45	-77	-216	-417	-947										93	32	116	163	170	180	98	98	226	505	1153										326,80	264,60	337,20	6,70	30,30	50,60	117,30	141,60	163,00	145,60	145,20										57,82728332	11,24013333	57,81467132	11,25384511
41	25	05	08	12	32	22	09		-25	-7	3	38	156	255	143	39	-26	71	1476										-4	-14	109	150	129	-23	-17	-45	-58	-141	-2690										25	16	109	155	202	256	144	60	64	158	3068										260,90	206,60	1,60	14,20	50,40	95,20	96,80	139,10	204,10	153,30	151,20										57,81456663	11,25396665	57,80096666	11,26826668
42	25	05	08	12	37	22	06		-13	-40	-12	67	193	185	174	108	-16	28	442	1621									-16	78	187	177	61	175	144	36	64	-68	-645	-2811									21	88	187	189	202	255	226	114	66	74	782	3245									219,10	332,90	356,30	20,70	72,50	46,60	50,40	71,60	346,00	157,60	145,60	150,00									57,80096666	11,26826668	57,78295001	11,28671668
43	25	05	08	12	42	24	04		-22	-48	27	106	142	168	215	208	57	54	45	204	726								6	124	121	60	99	242	251	150	19	-12	-62	-686	-2119								23	133	124	122	173	295	330	256	60	55	77	716	2240								285,30	338,80	12,60	60,50	55,10	34,80	40,60	54,20	71,60	102,50	144,00	163,40	161,10								57,78649924	11,28307792	57,77021664	11,29956664
44	25	05	08	12	47	25	04		-35	-28	62	92	30	61	60	208	99	-18	-35	32	43	483	565						46	64	27	-8	172	234	283	148	-113	-54	19	22	-129	-1265	-1365						58	70	68	92	175	242	289	255	150	57	40	39	136	1354	1477						322,70	336,40	66,50	95,00	9,90	14,60	12,00	54,60	138,80	198,40	298,50	55,50	161,60	159,10	157,50						57,77239267	11,29737150	57,75550573	11,31514826
45	25	05	08	12	52	24	07		-110	-72	-14	-44	-47	-2	7	189	99	20	-74	-63	-52	-45	110	438	526				-7	-36	-30	47	170	156	221	-16	4	0	-1	-51	-29	-52	-290	-902	-1070				110	80	33	64	176	156	221	190	99	20	74	81	60	69	310	1003	1192				266,40	243,40	205,00	316,90	344,50	359,30	1,80	94,80	87,70	90,00	269,20	231,00	240,90	220,90	159,20	154,10	153,80				57,75783498	11,31263972	57,74446811	11,32717730
46	25	05	08	12	57	22	08		-122	-94	-125	-140	-88	-32	-5	138	115	62	-30	-51	-2	-79	-45	5	363	544			-67	-76	-13	78	129	112	172	-50	27	70	10	-25	-99	-45	-25	-120	-638	-1036			139	121	126	160	156	116	172	147	118	94	32	57	99	91	51	120	734	1170			241,20	231,00	264,10	299,10	325,70	344,10	358,30	109,90	76,80	41,50	288,40	243,90	181,20	240,30	240,90	177,60	150,40	152,30			57,74433274	11,32732381	57,73250001	11,33998333
47	25	05	08	13	02	25	02		-97	-217	-197	-164	-66	-10	-52	31	88	30	23	26	20	-14	55	35	124	693	376		-286	-70	20	73	104	55	118	41	59	134	65	-5	-71	-102	-112	-71	-194	-1147	-842		302	228	198	180	123	56	129	51	106	137	69	26	74	103	125	79	230	1340	922		198,70	252,10	275,80	294,00	327,60	349,70	336,20	37,10	56,20	12,60	19,50	100,90	164,30	187,80	153,80	153,80	147,40	148,90	155,90		57,73241669	11,34008333	57,71795003	11,35488334
48	25	05	08	13	07	22	03		-262	-198	-141	-73	-53	-74	-55	18	22	18	-12	-9	11	1	55	0	336	1403	556		-114	-21	44	71	34	73	103	20	111	102	147	62	30	-96	-77	-55	-510	-2538	-1073		286	199	148	102	63	104	117	27	113	104	147	63	32	96	95	55	611	2900	1208		246,50	263,90	287,30	314,20	302,70	314,60	331,90	42,00	11,20	10,00	355,30	351,70	20,10	179,40	144,50	180,00	146,60	151,10	152,60		57,71753336	11,35527939	57,70369895	11,36899729
49	25	05	08	13	12	24	02		-222	-179	-111	-102	-78	-54	-115	36	-22	-65	-54	-55	-45	-28	13	8	-46	447	1457		-16	46	58	40	38	27	93	-4	92	155	117	108	82	30	15	-1	35	-698	-2597		223	185	125	110	87	60	148	36	95	168	129	121	94	41	20	8	58	829	2978		265,90	284,40	297,60	291,40	296,00	296,60	309,00	96,30	346,60	337,20	335,20	333,00	331,20	317,00	40,90	97,10	307,30	147,40	150,70		57,70365193	11,36904356	57,68955616	11,38323194
